"guid";"description";"code_val_type";"code_val";"child_code";"sequence";"delete_dt";"create_dt";"create_by";"update_dt";"update_by"
"1";"Yes";"YES_NO";"Y";"";1;0;0;"";0;""
"100";"No Repair";"PURPOSE_OPTION";"NO_REPAIR";"";5;0;0;"";0;""
"101";"Offhire";"PURPOSE_OPTION";"OFFHIRE";"";6;0;0;"";0;""
"102";"Pdf";"REPORT_TYPE";"PDF";"";1;0;0;"";0;""
"103";"Excel";"REPORT_TYPE";"XLSX";"";2;0;0;"";0;""
"14";"Owner";"CUSTOMER_TYPE";"OWNER";"";1;0;0;"";0;""
"15";"Lessor";"CUSTOMER_TYPE";"LESSOR";"";2;0;0;"";0;""
"16";"Sgd";"CURRENCY";"SGD";"";1;0;0;"";0;""
"17";"Usd";"CURRENCY";"USD";"";2;0;0;"";0;""
"18";"In-Service";"REPAIR_OPTION";"REPAIR";"";1;0;0;"";0;""
"19";"No Repair";"REPAIR_OPTION";"NO_REPAIR";"";2;0;0;"";0;""
"2";"No";"YES_NO";"N";"";2;0;0;"";0;""
"20";"Offhire";"REPAIR_OPTION";"OFFHIRE";"";3;0;0;"";0;""
"21";"Yard 1";"YARD";"YARD_1";"";1;0;0;"";0;""
"22";"Yard 2";"YARD";"YARD_2";"";2;0;0;"";0;""
"23";"Both";"LOLO";"BOTH";"";1;0;0;"";0;""
"24";"Lift-On";"LOLO";"LIFT_ON";"";2;0;0;"";0;""
"25";"Lift-Off";"LOLO";"LIFT_OFF";"";3;0;0;"";0;""
"26";"Mr.";"PERSON_TITLE";"MR.";"";1;0;0;"";0;""
"27";"Mrs.";"PERSON_TITLE";"MRS.";"";2;0;0;"";0;""
"28";"Waiting";"SO_TANK_STATUS";"WAITING";"";1;0;0;"";0;""
"29";"Accepted";"SO_TANK_STATUS";"ACCEPTED";"";2;0;0;"";0;""
"3";"Unknown";"CLEAN_STATUS";"UNKNOWN";"";1;0;0;"";0;""
"30";"Canceled";"SO_TANK_STATUS";"CANCELED";"";3;0;0;"";0;""
"31";"Cleaning";"TANK_STATUS";"CLEANING";"";1;0;0;"";0;""
"32";"Repair";"TANK_STATUS";"REPAIR";"";2;0;0;"";0;""
"33";"Steam";"TANK_STATUS";"STEAM";"";3;0;0;"";0;""
"34";"Storage";"TANK_STATUS";"STORAGE";"";4;0;0;"";0;""
"35";"Survey";"TANK_STATUS";"SURVEY";"";5;0;0;"";0;""
"36";"Ingate";"TANK_STATUS";"INGATE";"";6;0;0;"";0;""
"37";"Outgate";"TANK_STATUS";"OUTGATE";"";7;0;0;"";0;""
"38";"Residue Disposal";"TANK_STATUS";"RESIDUE";"";8;0;0;"";0;""
"39";"JJAP";"MANUFACTURER";"JJAP";"";1;0;0;"";0;""
"4";"Clean";"CLEAN_STATUS";"CLEAN";"";2;0;0;"";0;""
"40";"CIMC";"MANUFACTURER";"CIMC";"";2;0;0;"";0;""
"41";"SINGAMAS";"MANUFACTURER";"SINGAMAS";"";3;0;0;"";0;""
"42";"WELFIT";"MANUFACTURER";"WELFIT";"";4;0;0;"";0;""
"43";"CXIC";"MANUFACTURER";"CXIC";"";5;0;0;"";0;""
"44";"Gpr";"CLADDING";"GPR";"";1;0;0;"";0;""
"45";"Aluminium White";"CLADDING";"ALUMINIUM_WHITE";"";2;0;0;"";0;""
"46";"Stainless Steel";"CLADDING";"STAINLESS_STEEL";"";3;0;0;"";0;""
"47";"Parallel";"WALKWAY";"PARALLEL";"";1;0;0;"";0;""
"48";"L Walkway";"WALKWAY";"L_WALKWAY";"";2;0;0;"";0;""
"49";"U Walkway";"WALKWAY";"U_WALKWAY";"";3;0;0;"";0;""
"5";"Dirty";"CLEAN_STATUS";"DIRTY";"";3;0;0;"";0;""
"50";"H Walkway";"WALKWAY";"H_WALKWAY";"";4;0;0;"";0;""
"51";"8 Walkway";"WALKWAY";"8_WALKWAY";"";5;0;0;"";0;""
"52";"T Walkway";"WALKWAY";"T_WALKWAY";"";6;0;0;"";0;""
"53";"C Walkway";"WALKWAY";"C_WALKWAY";"";7;0;0;"";0;""
"54";"Full Walkway";"WALKWAY";"FULL_WALKWAY";"";8;0;0;"";0;""
"55";"Max Gross Weight";"MAX_WEIGHT";"20000";"";1;0;0;"";0;""
"56";"Max Gross Weight";"MAX_WEIGHT";"26000";"";2;0;0;"";0;""
"57";"Max Gross Weight";"MAX_WEIGHT";"30000";"";3;0;0;"";0;""
"58";"Max Gross Weight";"MAX_WEIGHT";"34000";"";4;0;0;"";0;""
"59";"Max Gross Weight";"MAX_WEIGHT";"36000";"";5;0;0;"";0;""
"6";"Pending";"SO_STATUS";"PENDING";"";1;0;0;"";0;""
"60";"8.5 Feet Height";"TANK_HEIGHT";"8.5";"";1;0;0;"";0;""
"61";"9.5 Feet Height";"TANK_HEIGHT";"9.5";"";2;0;0;"";0;""
"62";"Fortvale Butterfly Valve";"DISCHARGE_TYPE";"BUTTERFLY_VALVE";"";1;0;0;"";0;""
"63";"Fortvale Ball Valve";"DISCHARGE_TYPE";"BALL_VALVE";"";2;0;0;"";0;""
"64";"No Baffle";"COMPARTMENT_TYPE";"NO_BAFFLE";"";1;0;0;"";0;""
"65";"Baffle";"COMPARTMENT_TYPE";"BAFFLE";"";2;0;0;"";0;""
"66";"Multicompartment";"COMPARTMENT_TYPE";"MULTICOMPARTMENT";"";3;0;0;"";0;""
"7";"Completed";"SO_STATUS";"COMPLETED";"";2;0;0;"";0;""
"8";"Canceled";"SO_STATUS";"CANCELED";"";3;0;0;"";0;""
"80";"Dyne Penetrant Test";"BOOKING_TYPE";"DYNE_PEN_TEST";"";1;0;0;"";0;""
"81";"Joint Inspection";"BOOKING_TYPE";"JOINT_INSPECT";"";2;0;0;"";0;""
"83";"Nitrogen Certification";"BOOKING_TYPE";"NITROGEN_CERT";"";3;0;0;"";0;""
"84";"Off-Hire Survery";"BOOKING_TYPE";"OFF_HIRE_SURVEY";"";4;0;0;"";0;""
"85";"On-Hire Survery";"BOOKING_TYPE";"ON_HIRE_SURVEY";"";5;0;0;"";0;""
"86";"Spark Test";"BOOKING_TYPE";"SPARK_TEST";"";6;0;0;"";0;""
"87";"Vacuum Certification";"BOOKING_TYPE";"VACUUM_CERT";"";7;0;0;"";0;""
"88";"Wall Thickness";"BOOKING_TYPE";"WALL_THICKNESS";"";8;0;0;"";0;""
