"guid";"module";"submodule";"action";"code";"create_dt";"create_by";"update_dt";"update_by";"delete_dt"
"2cba511ed21a47738bd0c613474cc133";"KIOSK";"OUT_GATE";"ADD";"KIOSK_OUT_GATE_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B001";"TARIFF";"CLEANING";"VIEW";"TARIFF_CLEANING_VIEW";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B002";"TARIFF";"CLEANING";"EDIT";"TARIFF_CLEANING_EDIT";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B003";"TARIFF";"CLEANING";"DELETE";"TARIFF_CLEANING_DELETE";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B004";"TARIFF";"CLEANING";"ADD";"TARIFF_CLEANING_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B005";"TARIFF";"BUFFER_CLEANING";"VIEW";"TARIFF_BUFFER_CLEANING_VIEW";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B006";"TARIFF";"BUFFER_CLEANING";"EDIT";"TARIFF_BUFFER_CLEANING_EDIT";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B007";"TARIFF";"BUFFER_CLEANING";"DELETE";"TARIFF_BUFFER_CLEANING_DELETE";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B008";"TARIFF";"BUFFER_CLEANING";"ADD";"TARIFF_BUFFER_CLEANING_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B009";"TARIFF";"RESIDUE_DISPOSAL";"VIEW";"TARIFF_RESIDUE_DISPOSAL_VIEW";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B010";"TARIFF";"RESIDUE_DISPOSAL";"EDIT";"TARIFF_RESIDUE_DISPOSAL_EDIT";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B011";"TARIFF";"RESIDUE_DISPOSAL";"DELETE";"TARIFF_RESIDUE_DISPOSAL_DELETE";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B012";"TARIFF";"RESIDUE_DISPOSAL";"ADD";"TARIFF_RESIDUE_DISPOSAL_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B013";"TARIFF";"DEPOT_COST";"VIEW";"TARIFF_DEPOT_COST_VIEW";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B014";"TARIFF";"DEPOT_COST";"EDIT";"TARIFF_DEPOT_COST_EDIT";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B015";"TARIFF";"DEPOT_COST";"DELETE";"TARIFF_DEPOT_COST_DELETE";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B016";"TARIFF";"DEPOT_COST";"ADD";"TARIFF_DEPOT_COST_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B017";"TARIFF";"LABOUR_COST";"VIEW";"TARIFF_LABOUR_COST_VIEW";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B018";"TARIFF";"LABOUR_COST";"EDIT";"TARIFF_LABOUR_COST_EDIT";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B019";"TARIFF";"LABOUR_COST";"DELETE";"TARIFF_LABOUR_COST_DELETE";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B020";"TARIFF";"LABOUR_COST";"ADD";"TARIFF_LABOUR_COST_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B021";"TARIFF";"REPAIR";"VIEW";"TARIFF_REPAIR_VIEW";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B022";"TARIFF";"REPAIR";"EDIT";"TARIFF_REPAIR_EDIT";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B023";"TARIFF";"REPAIR";"DELETE";"TARIFF_REPAIR_DELETE";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B024";"TARIFF";"REPAIR";"ADD";"TARIFF_REPAIR_ADD";0;"";0;"";0
"c43b97f3a7c64f6fb9816f216f20B025";"TARIFF";"STEAMING";"VIEW";"TARIFF_STEAMING_VIEW";0;"";0;"";0
